date,UA_actual,EA_mean,FX_depreciation,Policy_spread,Policy_shock,CF_reduced_form_projection,CF_svar,CF_svar_ci_lo,CF_svar_ci_hi,CF_svar_stationary_robustness,CF_augmented_synthetic_control,SVAR_removed_demand,SVAR_robust_removed_demand,fx_channel_weight,policy_channel_weight,credibility_gain_weight,euro_treatment_weight
2000-01-01,,2.0727,,42.0,0.0,,,,,,14.1571,,,0.2,0.15,1.0,0.345
2000-02-01,,2.3182,-1.7441,31.75,-10.25,,,,,,14.1683,,,0.2,0.15,1.0,0.345
2000-03-01,,2.4455,-2.1549,28.5,-3.25,,,,,,12.6481,,,0.2,0.15,1.0,0.345
2000-04-01,,2.2818,-5.5482,25.25,-3.25,,,,,,13.0243,,,0.2,0.15,1.0,0.345
2000-05-01,,2.4364,3.2321,25.25,0.0,,,,,,11.4579,,,0.2,0.15,1.0,0.345
2000-06-01,,2.8091,1.9687,24.75,-0.5,,,,,,10.3422,,,0.2,0.15,1.0,0.345
2000-07-01,,2.8,-2.4117,24.75,0.0,,,,,,11.4023,,,0.2,0.15,1.0,0.345
2000-08-01,,2.9455,-4.0405,22.75,-2.0,,,,,,11.3498,,,0.2,0.15,1.0,0.345
2000-09-01,,3.1818,-1.6075,22.5,-0.25,,,,,,11.0086,,,0.2,0.15,1.0,0.345
2000-10-01,,3.2909,-3.3335,22.25,-0.25,,,,,,10.4373,,,0.2,0.15,1.0,0.345
2000-11-01,,3.3091,1.9576,22.25,0.0,,,,,,9.7897,,,0.2,0.15,1.0,0.345
2000-12-01,25.816,3.0455,7.2588,22.25,0.0,,,,,,9.7453,,,0.2,0.15,1.0,0.345
2001-01-01,22.0872,2.9091,-1.2392,22.25,0.0,17.3994,,,,,9.2628,,,0.2,0.15,1.0,0.345
2001-02-01,18.8962,2.8818,-0.4035,22.25,0.0,15.2776,,,,,8.8072,,,0.2,0.15,1.0,0.345
2001-03-01,17.2643,2.9545,-3.8562,20.25,-2.0,14.0014,,,,,9.4453,,,0.2,0.15,1.0,0.345
2001-04-01,17.0337,3.3727,2.0768,16.25,-4.0,14.3677,,,,,8.8264,,,0.2,0.15,1.0,0.345
2001-05-01,15.085,3.6182,-5.3021,16.5,0.25,12.913,,,,,9.8376,,,0.2,0.15,1.0,0.345
2001-06-01,11.6447,3.4727,-1.5157,14.5,-2.0,10.4665,,,,,9.9044,,,0.2,0.15,1.0,0.345
2001-07-01,9.8566,3.1727,2.6,14.5,0.0,9.093,,,,,9.1205,,,0.2,0.15,1.0,0.345
2001-08-01,9.6368,2.9818,3.6107,12.75,-1.75,8.9126,,,,,9.1237,,,0.2,0.15,1.0,0.345
2001-09-01,7.286,2.8909,0.2207,11.25,-1.5,7.1698,,,,,9.373,,,0.2,0.15,1.0,0.345
