date,AT,BE,BG,CY,CZ,DE,EE,ES,FI,FR,GR,HR,HU,IE,IT,LT,LV,MT,NL,PL,PT,RO,SI,SK
2000-01-01,1.4,0.3,7.0,4.4,3.4,1.7,3.1,2.9,2.3,1.7,2.3,3.1,10.2,4.5,2.2,0.9,3.1,3.4,1.6,10.1,1.9,56.7,7.8,13.7
2000-02-01,1.9,2.1,8.9,4.7,3.5,1.7,2.9,3.0,2.7,1.4,2.6,3.2,10.0,4.6,2.4,0.9,3.4,3.3,1.5,10.5,1.6,55.6,8.4,16.7
2000-03-01,1.9,2.5,9.6,5.2,3.8,1.4,3.1,3.0,3.2,1.6,2.8,3.5,9.8,5.0,2.5,1.0,3.2,3.4,1.6,10.3,1.4,49.0,9.0,16.8
2000-04-01,1.8,2.3,9.2,5.9,3.4,1.0,3.0,3.0,2.5,1.3,2.1,3.9,9.4,5.1,2.4,0.9,3.7,3.4,1.7,9.9,1.9,48.9,9.3,16.2
2000-05-01,1.6,2.4,10.3,6.0,3.7,0.8,2.8,3.2,2.7,1.5,2.6,3.4,9.2,5.1,2.5,0.5,3.0,3.6,2.0,9.8,2.4,44.0,9.1,16.3
2000-06-01,2.4,3.0,11.6,5.2,4.1,1.4,3.1,3.5,3.1,1.8,2.2,4.5,9.3,5.4,2.8,1.3,2.4,3.3,2.5,10.6,2.8,40.9,9.8,15.7
2000-07-01,1.9,1.7,8.6,4.7,4.1,1.3,4.0,3.7,2.9,1.9,2.6,4.6,9.8,5.9,2.8,1.4,2.8,3.3,2.8,11.6,3.3,44.5,8.9,9.3
2000-08-01,1.9,3.5,11.0,5.6,4.2,1.0,4.4,3.6,2.9,2.0,2.9,4.8,9.8,5.7,2.8,1.0,2.5,3.2,2.5,10.7,3.6,45.4,8.3,8.8
2000-09-01,2.3,4.0,11.9,4.6,4.2,1.5,4.7,3.7,3.4,2.3,3.0,5.2,10.6,5.5,2.8,0.5,2.2,3.2,2.9,10.2,3.6,44.9,9.0,8.8
2000-10-01,2.2,3.7,11.9,4.2,4.5,1.5,5.4,4.0,3.4,2.1,3.8,5.3,10.6,5.9,2.7,1.3,2.0,3.4,3.2,9.8,3.7,42.9,9.1,8.7
2000-11-01,2.3,3.7,12.3,4.2,4.3,1.4,5.7,4.1,3.3,2.3,4.0,6.1,10.5,5.9,2.9,1.7,1.6,1.9,2.9,9.1,3.6,41.3,9.8,8.6
