date,UAH_EUR
2000-01-01,5.392272
2000-02-01,5.29904
2000-03-01,5.186072
2000-04-01,4.906173
2000-05-01,5.067337
2000-06-01,5.168085
2000-07-01,5.044938
2000-08-01,4.84516
2000-09-01,4.767897
2000-10-01,4.611579
2000-11-01,4.702746
2000-12-01,5.056802
2001-01-01,4.994523
2001-02-01,4.974409
2001-03-01,4.786237
2001-04-01,4.886676
2001-05-01,4.634328
2001-06-01,4.564614
2001-07-01,4.684848
2001-08-01,4.857094
2001-09-01,4.867827
2001-10-01,4.79821
2001-11-01,4.695091
2001-12-01,4.669568
2002-01-01,4.598408
2002-02-01,4.602565
2002-03-01,4.642913
2002-04-01,4.814543
2002-05-01,4.996219
2002-06-01,5.235013
2002-07-01,5.241072
2002-08-01,5.240301
2002-09-01,5.211718
2002-10-01,5.236922
2002-11-01,5.292282
2002-12-01,5.532898
2003-01-01,5.731801
2003-02-01,5.772996
2003-03-01,5.723919
2003-04-01,5.843602
2003-05-01,6.269475
2003-06-01,6.096457
2003-07-01,6.088916
2003-08-01,5.772948
2003-09-01,6.084841
2003-10-01,6.257518
2003-11-01,6.346146
2003-12-01,6.662242
2004-01-01,6.602034
2004-02-01,6.632528
2004-03-01,6.494818
2004-04-01,6.301721
2004-05-01,6.477863
2004-06-01,6.47476
2004-07-01,6.393022
2004-08-01,6.398885
2004-09-01,6.540679
2004-10-01,6.745092
2004-11-01,7.029123
2004-12-01,7.217466
2005-01-01,6.913634
2005-02-01,6.976134
2005-03-01,6.834939
2005-04-01,6.517025
2005-05-01,6.29836
2005-06-01,6.093297
2005-07-01,6.1105
2005-08-01,6.151405
2005-09-01,6.091815
2005-10-01,6.12969
2005-11-01,5.955465
2005-12-01,5.971625
2006-01-01,6.10141
2006-02-01,5.98526
2006-03-01,6.10848
2006-04-01,6.26907
2006-05-01,6.483695
2006-06-01,6.327145
2006-07-01,6.39532
2006-08-01,6.47309
2006-09-01,6.420065
2006-10-01,6.422085
2006-11-01,6.644285
2006-12-01,6.65085
2007-01-01,6.55086
2007-02-01,6.68115
2007-03-01,6.74276
2007-04-01,6.889715
2007-05-01,6.7771
2007-06-01,6.7973
2007-07-01,6.897795
2007-08-01,6.87305
2007-09-01,7.1609
2007-10-01,7.275535
2007-11-01,7.44269
2007-12-01,7.41946
2008-01-01,7.47905
2008-02-01,7.636105
2008-03-01,7.97698
2008-04-01,7.863355
2008-05-01,7.545345
2008-06-01,7.627805
2008-07-01,7.553026
2008-08-01,7.157583
2008-09-01,6.975049
2008-10-01,7.508681
2008-11-01,8.696922
2008-12-01,10.85546
2009-01-01,10.09547
2009-02-01,9.84214
2009-03-01,10.15861
2009-04-01,10.21482
2009-05-01,10.556609
2009-06-01,10.755671
2009-07-01,10.817999
2009-08-01,11.4754
2009-09-01,11.653749
2009-10-01,11.8304
2009-11-01,11.905907
2009-12-01,11.448893
2010-01-01,11.20088
2010-02-01,10.777711
2010-03-01,10.684485
2010-04-01,10.506573
2010-05-01,9.814444
2010-06-01,9.644959
2010-07-01,10.315623
2010-08-01,10.015347
2010-09-01,10.771065
2010-10-01,10.963104
2010-11-01,10.435295
2010-12-01,10.573138
2011-01-01,10.88574
2011-02-01,10.914229
2011-03-01,11.21564
2011-04-01,11.784013
2011-05-01,11.37564
2011-06-01,11.500043
2011-07-01,11.366931
2011-08-01,11.479402
2011-09-01,10.854831
2011-10-01,11.295432
2011-11-01,10.655064
2011-12-01,10.298053
2012-01-01,10.474497
2012-02-01,10.745306
2012-03-01,10.599948
2012-04-01,10.569839
2012-05-01,9.941072
2012-06-01,9.970644
2012-07-01,9.788228
2012-08-01,10.026419
2012-09-01,10.290188
2012-10-01,10.360527
2012-11-01,10.386104
2012-12-01,10.537172
2013-01-01,10.823321
2013-02-01,10.468432
2013-03-01,10.235037
2013-04-01,10.481221
2013-05-01,10.346139
2013-06-01,10.410083
2013-07-01,10.617901
2013-08-01,10.603514
2013-09-01,10.820124
2013-10-01,10.994372
2013-11-01,10.864086
2013-12-01,11.04153
2014-01-01,10.849698
2014-02-01,13.637291
2014-03-01,15.072434
2014-04-01,15.763826
2014-05-01,16.028126
2014-06-01,16.086845
2014-07-01,16.211522
2014-08-01,17.929693
2014-09-01,16.44676
2014-10-01,16.315272
2014-11-01,18.681648
2014-12-01,19.232908
2015-01-01,18.28257
2015-02-01,31.419523
2015-03-01,25.449314
2015-04-01,23.155725
2015-05-01,22.934148
2015-06-01,23.541404
2015-07-01,23.6757
2015-08-01,23.871755
2015-09-01,24.11946
2015-10-01,25.034056
2015-11-01,25.269966
2015-12-01,26.223129
2016-01-01,27.422974
2016-02-01,29.776061
2016-03-01,29.689327
2016-04-01,28.606859
2016-05-01,28.03241
2016-06-01,27.56354
2016-07-01,27.501208
2016-08-01,28.648423
2016-09-01,29.075719
2016-10-01,27.846678
2016-11-01,27.073898
2016-12-01,28.422604
2017-01-01,28.827535
2017-02-01,28.641723
2017-03-01,28.964193
2017-04-01,28.890636
2017-05-01,29.443959
2017-06-01,29.786782
2017-07-01,30.396394
2017-08-01,30.480581
2017-09-01,31.236545
2017-10-01,31.154288
2017-11-01,31.949375
2017-12-01,33.495424
2018-01-01,34.789719
2018-02-01,33.148962
2018-03-01,32.704238
2018-04-01,31.916721
2018-05-01,30.401182
2018-06-01,30.567999
2018-07-01,31.260792
2018-08-01,33.064318
2018-09-01,33.128775
2018-10-01,32.028598
2018-11-01,32.328754
2018-12-01,31.714138
2019-01-01,31.72179
2019-02-01,30.733961
2019-03-01,30.567665
2019-04-01,29.608679
2019-05-01,29.919923
2019-06-01,29.730243
2019-07-01,27.980385
2019-08-01,27.937201
2019-09-01,26.334552
2019-10-01,27.759915
2019-11-01,26.45115
2019-12-01,26.422
2020-01-01,27.4751
2020-02-01,26.9299
2020-03-01,30.9617
2020-04-01,29.2424
2020-05-01,29.6234
2020-06-01,29.95
2020-07-01,32.547
2020-08-01,32.7334
2020-09-01,33.1309
2020-10-01,33.2984
2020-11-01,33.9596
2020-12-01,34.7396
2021-01-01,34.1035
2021-02-01,34.1459
2021-03-01,32.7233
2021-04-01,33.6427
2021-05-01,33.3896
2021-06-01,32.3018
2021-07-01,31.9239
2021-08-01,31.6963
2021-09-01,30.981
2021-10-01,30.5032
